No,station_name,lacation,train_num,train_num_count
480,白山市站,"126.46508054852985,41.958732433590114","['4245', '4246', '4349', '4350', 'K7391', 'K7394']",6
481,长春站,"125.33080239803563,43.91754156714081","['2051', '2052', '2623', '2624', '6335', '6336', 'C1001', 'C1002', 'C1003', 'C1004', 'C1005', 'C1006', 'C1007', 'C1008', 'C1009', 'C1010', 'C1011', 'C1012', 'C1015', 'C1016', 'C1017', 'C1018', 'C1019', 'C1020', 'C1021', 'C1023', 'C1024', 'C1025', 'C1026', 'C1027', 'C1028', 'C1040', 'C1041', 'C1042', 'C1043', 'C1045', 'C1046', 'C1047', 'C1048', 'C1049', 'C1050', 'C1052', 'C1201', 'C1202', 'C1203', 'C1204', 'C1205', 'C1206', 'C1207', 'C1208', 'C1209', 'C1210', 'C1211', 'C1212', 'C1213', 'C1215', 'C1216', 'C1217', 'C1218', 'C1219', 'C1220', 'C1221', 'C1222', 'C1223', 'C1224', 'C1226', 'C1227', 'C1229', 'C1230', 'C1232', 'C1233', 'C1243', 'C1248', 'C1250', 'C1252', 'C1264', 'C1301', 'C1302', 'C1303', 'C1304', 'C1305', 'C1306', 'C1307', 'C1308', 'C1309', 'C1310', 'C1311', 'C1312', 'C1325', 'C1326', 'C1327', 'C1328', 'C502', 'C503', 'C504', 'C505', 'C506', 'C507', 'C508', 'C509', 'C510', 'C511', 'C512', 'C517', 'C518', 'C519', 'C521', 'C522', 'C527', 'C528', 'C529', 'C530', 'C531', 'C532', 'C533', 'C534', 'C535', 'C536', 'C545', 'C546', 'D111', 'D112', 'D113', 'D114', 'D115', 'D116', 'D117', 'D118', 'D119', 'D120', 'D121', 'D122', 'D123', 'D124', 'D125', 'D126', 'D127', 'D128', 'D129', 'D130', 'D151', 'D152', 'D153', 'D154', 'D8081', 'D8082', 'D8083', 'D8084', 'D8089', 'D8090', 'D8091', 'D8092', 'D8093', 'G1233', 'G1234', 'G1235', 'G1236', 'G1265', 'G1266', 'G1267', 'G1268', 'G3621', 'G3622', 'G3623', 'G3624', 'G3625', 'G3626', 'G3627', 'G3628', 'G3645', 'G3646', 'G3647', 'G3648', 'G3649', 'G3650', 'G8001', 'G8002', 'G8004', 'G8006', 'G8007', 'G8008', 'G8009', 'G8010', 'G8011', 'G8013', 'G8015', 'G8016', 'G8017', 'G8018', 'G8019', 'G8020', 'G8023', 'G8024', 'G8032', 'G8033', 'G8035', 'G8037', 'G8038', 'G8039', 'G8040', 'G8092', 'G8101', 'G8102', 'G8103', 'G8104', 'G8105', 'G8106', 'G8107', 'G8108', 'G8125', 'G8126', 'G8127', 'G8128', 'G8130', 'G905', 'G906', 'G915', 'G916', 'G952', 'G955', 'G960', 'K1009', 'K1010', 'K1021', 'K1022', 'K1023', 'K1024', 'K1053', 'K1054', 'K1055', 'K1056', 'K1061', 'K1062', 'K1063', 'K1064', 'K1227', 'K1228', 'K1229', 'K1230', 'K1241', 'K1242', 'K1243', 'K1244', 'K125', 'K126', 'K127', 'K128', 'K1303', 'K1304', 'K1381', 'K1382', 'K1383', 'K1384', 'K1391', 'K1392', 'K1393', 'K1394', 'K1449', 'K1450', 'K1451', 'K1452', 'K1525', 'K1526', 'K1527', 'K1528', 'K1571', 'K1572', 'K1573', 'K1574', 'K1983', 'K1984', 'K1985', 'K1986', 'K2285', 'K2286', 'K2287', 'K2288', 'K2385', 'K2386', 'K2387', 'K2388', 'K293', 'K294', 'K295', 'K296', 'K335', 'K336', 'K337', 'K338', 'K339', 'K340', 'K349', 'K350', 'K4491', 'K4492', 'K4493', 'K4494', 'K4575', 'K4576', 'K4577', 'K4578', 'K489', 'K490', 'K515', 'K516', 'K517', 'K518', 'K545', 'K546', 'K547', 'K548', 'K551', 'K552', 'K553', 'K554', 'K567', 'K568', 'K569', 'K570', 'K701', 'K702', 'K703', 'K704', 'K725', 'K726', 'K727', 'K728', 'K7305', 'K7306', 'K7309', 'K7310', 'K7391', 'K7392', 'K7393', 'K7394', 'K7571', 'K7572', 'K889', 'K890', 'K925', 'K926', 'K927', 'K928', 'K937', 'K938', 'K939', 'K940', 'K973', 'K974', 'K975', 'K976', 'K977', 'K978', 'K979', 'K980', 'T121', 'T122', 'T123', 'T124', 'T130', 'T181', 'T182', 'T183', 'T184', 'T241', 'T242', 'T243', 'T244', 'T261', 'T297', 'T298', 'T329', 'T330', 'T331', 'T332', 'T5301', 'T5302', 'T5303', 'T5304', 'T5305', 'T5306', 'Z101', 'Z102', 'Z103', 'Z104', 'Z111', 'Z112', 'Z113', 'Z114', 'Z117', 'Z118', 'Z155', 'Z156', 'Z157', 'Z158', 'Z171', 'Z172', 'Z173', 'Z174', 'Z175', 'Z176', 'Z177', 'Z178', 'Z211', 'Z212', 'Z365', 'Z366', 'Z367', 'Z368', 'Z383', 'Z384', 'Z385', 'Z386', 'Z61', 'Z62']",415
482,长春西站,"125.206527669716,43.883313495679836","['C1005', 'C1010', 'C1021', 'C1024', 'C1048', 'C1201', 'C1203', 'D27', 'D28', 'D8090', 'D8091', 'D8093', 'G1201', 'G1202', 'G1203', 'G1204', 'G1205', 'G1206', 'G1207', 'G1208', 'G1211', 'G1212', 'G1213', 'G1214', 'G1234', 'G1235', 'G1237', 'G1238', 'G1239', 'G1240', 'G1255', 'G1256', 'G1257', 'G1258', 'G1261', 'G1262', 'G1263', 'G1264', 'G1265', 'G1266', 'G1267', 'G1268', 'G1275', 'G1276', 'G1277', 'G1278', 'G1289', 'G1290', 'G1291', 'G1292', 'G2621', 'G2622', 'G2623', 'G2624', 'G2633', 'G2634', 'G2635', 'G2636', 'G2655', 'G2656', 'G2657', 'G2658', 'G3491', 'G3492', 'G3493', 'G3494', 'G3601', 'G3602', 'G3603', 'G3605', 'G3606', 'G3608', 'G3609', 'G3624', 'G3628', 'G3646', 'G3647', 'G3649', 'G3650', 'G373', 'G374', 'G47', 'G4792', 'G4793', 'G48', 'G49', 'G50', 'G701', 'G702', 'G703', 'G704', 'G705', 'G706', 'G707', 'G708', 'G709', 'G710', 'G711', 'G712', 'G713', 'G714', 'G716', 'G717', 'G719', 'G720', 'G721', 'G722', 'G724', 'G725', 'G727', 'G728', 'G729', 'G730', 'G731', 'G732', 'G754', 'G755', 'G763', 'G764', 'G765', 'G766', 'G767', 'G768', 'G769', 'G770', 'G771', 'G772', 'G773', 'G774', 'G775', 'G776', 'G777', 'G778', 'G779', 'G780', 'G781', 'G782', 'G783', 'G784', 'G785', 'G786', 'G787', 'G788', 'G8004', 'G8005', 'G8006', 'G8008', 'G8012', 'G8015', 'G8017', 'G8018', 'G8023', 'G8024', 'G8037', 'G8040', 'G8127', 'G8128', 'G901', 'G902', 'G904', 'G921', 'G922', 'G923', 'G924', 'G925', 'G926', 'G928', 'G930', 'G931', 'G932', 'G933', 'G934', 'G935', 'G936', 'G937', 'G938', 'G939', 'G940', 'G941', 'G951', 'G952', 'G953', 'G956', 'G957', 'G958', 'G960', 'G961', 'G962']",188
483,蔡家沟站,"126.1443588819254,45.125908183537724","['K1242', 'K1243', 'K1526', 'K1527', 'K937', 'K940']",6
484,长山屯站,"124.47570447507243,45.31939878072521","['C502', 'C503', 'C506', 'C507', 'C518', 'C527', 'K7305', 'K7306']",8
485,大石头南站,"128.46396185237032,43.30640540497262","['C1005', 'C1007', 'C1015', 'C1019', 'C1025', 'C1037', 'C1040', 'C1042', 'C1046', 'C1052']",10
486,大石头站,"128.50800352576076,43.31187512527121","['4343', '4344']",2
487,大安北站,"124.2450605828399,45.52280061403134","['K47', 'K48', 'K49', 'K50']",4
488,敦化站,"128.2527265693267,43.385999251944256","['4343', '4344', 'C1001', 'C1002', 'C1003', 'C1004', 'C1006', 'C1007', 'C1008', 'C1009', 'C1010', 'C1011', 'C1012', 'C1015', 'C1016', 'C1018', 'C1019', 'C1020', 'C1021', 'C1023', 'C1025', 'C1026', 'C1027', 'C1028', 'C1037', 'C1040', 'C1041', 'C1042', 'C1043', 'C1046', 'C1047', 'C1048', 'C1049', 'C1050', 'C1052', 'C1219', 'C1222', 'C1301', 'C1302', 'C1303', 'C1304', 'C1305', 'C1306', 'C1307', 'C1308', 'C1309', 'C1310', 'C1311', 'C1312', 'C1325', 'C1326', 'C1328', 'D111', 'D112', 'D113', 'D114', 'D115', 'D116', 'D117', 'D118', 'D151', 'D152', 'D153', 'D154', 'D8081', 'D8082', 'D8083', 'D8084', 'D8089', 'D8090', 'D8091', 'D8092', 'G1265', 'G1266', 'G1267', 'G1268', 'G3649', 'G3650', 'G8035', 'G8037', 'G8038', 'G8039', 'G8040', 'G8125', 'G8126', 'G8127', 'G8128', 'G8130']",88
489,德惠站,"125.72380638746233,44.539652697947005","['2623', '2624', 'K1241', 'K1242', 'K1243', 'K1244', 'K1304', 'K1381', 'K1382', 'K1383', 'K1384', 'K1392', 'K1393', 'K1525', 'K1526', 'K1527', 'K1528', 'K4491', 'K4494', 'K4576', 'K4577', 'K489', 'K490', 'K545', 'K546', 'K547', 'K548', 'K551', 'K552', 'K553', 'K554', 'K701', 'K702', 'K703', 'K704', 'K726', 'K727', 'K889', 'K925', 'K928', 'K937', 'K938', 'K939', 'K940', 'K973', 'K976', 'K978', 'K979', 'T181', 'T182', 'T183', 'T184', 'T241', 'T244', 'T330', 'T5301', 'T5303']",57
490,德惠西站,"125.68316695636038,44.55143561041814","['D115', 'D118', 'D119', 'D120', 'D123', 'D126', 'D127', 'D128', 'D129', 'D130', 'D152', 'D153', 'D27', 'D28', 'G1202', 'G1203', 'G1205', 'G1208', 'G1237', 'G1238', 'G1239', 'G1240', 'G1262', 'G1263', 'G1275', 'G1278', 'G2633', 'G2634', 'G2635', 'G2636', 'G2656', 'G2657', 'G3608', 'G3609', 'G374', 'G701', 'G704', 'G709', 'G710', 'G713', 'G714', 'G721', 'G722', 'G724', 'G725', 'G730', 'G771', 'G778', 'G779', 'G782', 'G783', 'G8092', 'G926', 'G929', 'G930', 'G934', 'G935', 'G940']",58
491,大安站,"124.28944765469922,45.488807574896235","['C502', 'C503', 'C504', 'C505', 'C506', 'C507', 'C508', 'C509', 'C511', 'C512', 'C518', 'C519', 'C521', 'C522', 'C527', 'C529', 'C530', 'K1024', 'K1230', 'K7305', 'K7306', 'K7309', 'K7310']",23
492,到保站,"123.17732351468511,45.604166037616515","['C503', 'C504', 'K7306']",3
493,东丰站,"125.55219122825851,42.66050754974186","['K429', 'K430', 'K7386', 'K7521', 'K7522', 'K7571', 'K7572']",7
494,扶余站,"126.03160340435109,44.99315184270367","['2623', '2624', 'K1062', 'K1063', 'K1241', 'K1242', 'K1243', 'K1244', 'K1303', 'K1304', 'K1381', 'K1384', 'K1526', 'K1527', 'K293', 'K294', 'K295', 'K296', 'K340', 'K489', 'K490', 'K545', 'K548', 'K551', 'K554', 'K701', 'K702', 'K703', 'K704', 'K889', 'K937', 'K938', 'K939', 'K940', 'K973', 'K976', 'K977', 'K978', 'K979', 'K980', 'T181', 'T182', 'T183', 'T184']",44
495,范家屯站,"125.08102145437272,43.71940194262439","['6335', '6336']",2
496,扶余北站,"126.01120889516636,45.014025752227234","['D115', 'D118', 'D119', 'D120', 'D123', 'D124', 'D125', 'D126', 'D128', 'D129', 'D151', 'D152', 'D153', 'D154', 'G1206', 'G1207', 'G1275', 'G1276', 'G1277', 'G1278', 'G2634', 'G2635', 'G2655', 'G2658', 'G374', 'G702', 'G704', 'G707', 'G708', 'G716', 'G717', 'G728', 'G754', 'G765', 'G771', 'G773', 'G776', 'G778', 'G779', 'G785', 'G788', 'G8092', 'G921', 'G922', 'G926', 'G934']",46
497,郭家店站,"124.58428734296179,43.348186129344974","['2623', 'K1391', 'K1394']",3
498,果松站,"126.26277837479968,41.605064923986106","['4347', '4348']",2
499,公主岭站,"124.81762471443398,43.515392076906515","['2051', '2052', '2623', '2624', '6335', '6336', 'K1021', 'K1054', 'K1055', 'K1061', 'K1062', 'K1063', 'K1064', 'K1227', 'K1228', 'K1230', 'K1241', 'K1244', 'K125', 'K126', 'K127', 'K128', 'K1303', 'K1381', 'K1384', 'K1391', 'K1392', 'K1393', 'K1394', 'K1571', 'K1572', 'K1573', 'K1574', 'K2285', 'K2288', 'K2385', 'K2388', 'K340', 'K4575', 'K4576', 'K4577', 'K4578', 'K489', 'K515', 'K516', 'K517', 'K518', 'K546', 'K547', 'K551', 'K554', 'K701', 'K702', 'K703', 'K704', 'K889', 'K937', 'K938', 'K939', 'K940', 'K973', 'K976', 'K977', 'K978', 'K979', 'K980', 'T241', 'T244', 'T329', 'Z366', 'Z367']",71
500,公主岭南站,"124.82091394988932,43.48024619849038","['D8082', 'D8083', 'D8093', 'G3623', 'G3626', 'G4792', 'G4793', 'G722', 'G764', 'G781', 'G784', 'G8001', 'G8004', 'G8005', 'G8007', 'G8010', 'G8012', 'G8013', 'G8020', 'G8033', 'G8105', 'G8108', 'G8125', 'G927', 'G933', 'G935', 'G940', 'G952', 'G957']",29
501,黄泥河站,"128.0239932830848,43.5616463433682","['4343', '4344']",2
502,黄松甸站,"127.73439369006444,43.64746598117546","['4343', '4344']",2
503,哈拉海站,"125.09535930861749,44.68050638537785","['C505', 'C509', 'C534']",3
504,珲春站,"130.40968143613028,42.90718911830234","['C1003', 'C1008', 'C1009', 'C1012', 'C1015', 'C1020', 'C1023', 'C1026', 'C1037', 'C1040', 'C1042', 'C1043', 'D111', 'D112', 'D113', 'D114', 'G3649', 'G3650', 'G8125', 'G8126', 'G8127', 'G8128']",22
505,集安站,"126.21015968039995,41.141458074279015","['4347', '4348']",2
506,蛟河站,"127.35786749826836,43.73116581507773","['4343', '4344']",2
507,吉舒站,"126.80953786243356,44.293834594483776","['K7425', 'K7426']",2
508,蛟河西站,"127.30662869096251,43.73480777824504","['C1001', 'C1002', 'C1003', 'C1004', 'C1006', 'C1007', 'C1008', 'C1010', 'C1011', 'C1015', 'C1016', 'C1017', 'C1018', 'C1019', 'C1021', 'C1023', 'C1026', 'C1027', 'C1040', 'C1043', 'C1045', 'C1046', 'C1047', 'C1048', 'C1049', 'C1205', 'C1208', 'C1219', 'C1222', 'C1264', 'C1305', 'C1306', 'C1307', 'C1308', 'C1309', 'C1310', 'C1311', 'C1312', 'C1325', 'C1328', 'D111', 'D112', 'D113', 'D114', 'D115', 'D116', 'D117', 'D118', 'D8082', 'D8083', 'D8090', 'D8091', 'D8093', 'G1266', 'G1267', 'G3649', 'G3650', 'G8035', 'G8037', 'G8038', 'G8039', 'G8040', 'G8125', 'G8126', 'G8127', 'G8130']",66
509,吉林站,"126.58358438259229,43.86475714658046","['4343', '4344', 'C1001', 'C1002', 'C1003', 'C1004', 'C1005', 'C1006', 'C1007', 'C1008', 'C1009', 'C1010', 'C1011', 'C1012', 'C1015', 'C1016', 'C1017', 'C1018', 'C1019', 'C1020', 'C1021', 'C1023', 'C1024', 'C1025', 'C1026', 'C1027', 'C1028', 'C1040', 'C1041', 'C1042', 'C1043', 'C1045', 'C1046', 'C1047', 'C1048', 'C1049', 'C1050', 'C1052', 'C1201', 'C1202', 'C1203', 'C1204', 'C1205', 'C1206', 'C1207', 'C1208', 'C1209', 'C1210', 'C1211', 'C1212', 'C1213', 'C1215', 'C1216', 'C1217', 'C1218', 'C1219', 'C1220', 'C1221', 'C1222', 'C1223', 'C1224', 'C1226', 'C1227', 'C1229', 'C1230', 'C1232', 'C1233', 'C1243', 'C1248', 'C1250', 'C1252', 'C1264', 'C1301', 'C1302', 'C1303', 'C1304', 'C1305', 'C1306', 'C1307', 'C1308', 'C1309', 'C1310', 'C1311', 'C1312', 'C1325', 'C1326', 'C1327', 'C1328', 'D111', 'D112', 'D113', 'D114', 'D115', 'D116', 'D117', 'D118', 'D123', 'D124', 'D125', 'D126', 'D127', 'D128', 'D129', 'D130', 'D151', 'D152', 'D153', 'D154', 'D8081', 'D8082', 'D8083', 'D8084', 'D8089', 'D8090', 'D8091', 'D8092', 'D8093', 'G1233', 'G1234', 'G1235', 'G1236', 'G1265', 'G1266', 'G1267', 'G1268', 'G3621', 'G3622', 'G3623', 'G3624', 'G3625', 'G3626', 'G3627', 'G3628', 'G3645', 'G3646', 'G3647', 'G3648', 'G3649', 'G3650', 'G8004', 'G8007', 'G8008', 'G8009', 'G8011', 'G8013', 'G8015', 'G8016', 'G8017', 'G8018', 'G8019', 'G8020', 'G8024', 'G8032', 'G8033', 'G8035', 'G8037', 'G8038', 'G8039', 'G8040', 'G8102', 'G8103', 'G8105', 'G8106', 'G8107', 'G8108', 'G8125', 'G8126', 'G8127', 'G8128', 'G8130', 'G915', 'G916', 'K1053', 'K1054', 'K1055', 'K1056', 'K1571', 'K1572', 'K1573', 'K1574', 'K1983', 'K1984', 'K1985', 'K1986', 'K215', 'K216', 'K335', 'K336', 'K337', 'K338', 'K515', 'K516', 'K517', 'K518', 'K7333', 'K7334', 'K7391', 'K7392', 'K7393', 'K7394', 'K7425', 'K7426', 'Z117', 'Z118']",204
510,江源站,"126.5884881425407,42.047660256332776","['4245', '4246']",2
511,九台站,"125.84526079580283,44.15554223746126","['K1053', 'K1054', 'K1055', 'K1056', 'K1571', 'K1572', 'K1573', 'K1574', 'K1983', 'K1986', 'K335', 'K336', 'K337', 'K338', 'K515', 'K516', 'K517', 'K518', 'K7391', 'K7392', 'K7393', 'K7394', 'Z117', 'Z118']",24
512,九台南站,"125.81758921321237,44.02840576594163","['C1201', 'C1202', 'C1206', 'C1209', 'C1210', 'C1213', 'C1216', 'C1222', 'C1223']",9
513,龙嘉站,"125.70705721173712,43.998335527991934","['C1002', 'C1003', 'C1004', 'C1008', 'C1010', 'C1011', 'C1018', 'C1019', 'C1021', 'C1027', 'C1040', 'C1041', 'C1042', 'C1043', 'C1045', 'C1046', 'C1047', 'C1049', 'C1050', 'C1202', 'C1203', 'C1205', 'C1206', 'C1207', 'C1208', 'C1213', 'C1215', 'C1216', 'C1217', 'C1218', 'C1219', 'C1220', 'C1221', 'C1222', 'C1223', 'C1226', 'C1227', 'C1229', 'C1232', 'C1233', 'C1252', 'C1301', 'C1302', 'C1303', 'C1304', 'C1305', 'C1306', 'C1307', 'C1308', 'C1309', 'C1310', 'C1311', 'C1312', 'D8093']",54
514,辽源站,"125.1355764462992,42.911125494238014","['K429', 'K430', 'K7385', 'K7386', 'K7391', 'K7392', 'K7393', 'K7394', 'K7521', 'K7522', 'K7541', 'K7542', 'K7571', 'K7572', 'K95', 'K96', 'K97', 'K98']",18
515,柳河站,"125.77202985266283,42.297218294208406","['K429', 'K430', 'K7385', 'K7386', 'K7521', 'K7522', 'K969', 'K970', 'K971', 'K972']",10
516,露水河站,"127.8220567196972,42.5197912881009","['4245', '4246']",2
517,临江站,"126.90902861122457,41.80880131773721","['4349', '4350']",2
518,明城站,"126.02463920105444,43.19855786400288","['K215', 'K216', 'K7334', 'K7425', 'K7426']",5
519,茂林站,"123.40854152368541,43.98436753996048","['K2083', 'K2084']",2
520,梅河口站,"125.69138797889605,42.541512747000084","['K215', 'K216', 'K335', 'K336', 'K337', 'K338', 'K429', 'K430', 'K7333', 'K7334', 'K7385', 'K7386', 'K7391', 'K7392', 'K7393', 'K7394', 'K7425', 'K7426', 'K7521', 'K7522', 'K7571', 'K7572', 'K95', 'K96', 'K969', 'K97', 'K970', 'K971', 'K972', 'K98']",30
521,农安站,"125.16768197505637,44.44235710624506","['C502', 'C503', 'C504', 'C507', 'C508', 'C509', 'C511', 'C519', 'C521', 'C522', 'C527', 'C529', 'C530', 'C532', 'C533', 'C535', 'C536', 'C546', 'K1230', 'K7305', 'K7306']",21
522,平台站,"122.66579700643815,45.72520896323662","['C503', 'C512']",2
523,磐石站,"126.07518604362595,42.93363193197483","['K215', 'K216', 'K335', 'K336', 'K337', 'K338', 'K7333', 'K7334', 'K7425', 'K7426']",10
524,乾安站,"123.88677690984657,45.10553006401011","['K47', 'K48', 'K49', 'K50']",4
525,泉阳站,"127.54701398780492,42.346073916519686","['4245', '4246']",2
526,松江河站,"127.4884361143131,42.19452156243813","['4245', '4246']",2
527,舒兰站,"126.9610369968608,44.413985125487294","['K7425', 'K7426']",2
528,双吉站,"126.44400369617979,43.97082087382759","['C1009', 'C1021', 'C1224', 'D123', 'D126']",5
529,双辽站,"123.52494799404315,43.49931153192776","['2061', '2062', '4355', '4356', '4357', '4358', 'K1241', 'K1242', 'K1243', 'K1244', 'K1301', 'K1302', 'K1381', 'K1382', 'K1383', 'K1384', 'K2083', 'K2084', 'K550', 'K7459', 'K7460']",21
530,四平东站,"124.4444958242461,43.14498289483792","['D8081', 'D8082', 'D8083', 'D8084', 'D8093', 'G1202', 'G1203', 'G1205', 'G1206', 'G1207', 'G1208', 'G1211', 'G1212', 'G1213', 'G1214', 'G1233', 'G1234', 'G1235', 'G1236', 'G1237', 'G1240', 'G1256', 'G1257', 'G1261', 'G1264', 'G1265', 'G1266', 'G1267', 'G1268', 'G1276', 'G1277', 'G1289', 'G1290', 'G1291', 'G1292', 'G2621', 'G2622', 'G2623', 'G2624', 'G2633', 'G2634', 'G2635', 'G2636', 'G2656', 'G2657', 'G3491', 'G3492', 'G3493', 'G3494', 'G3602', 'G3606', 'G3608', 'G3609', 'G3622', 'G3624', 'G3627', 'G3628', 'G3645', 'G3646', 'G3647', 'G3648', 'G3649', 'G3650', 'G373', 'G4792', 'G4793', 'G703', 'G706', 'G707', 'G708', 'G709', 'G710', 'G711', 'G712', 'G713', 'G714', 'G716', 'G717', 'G719', 'G722', 'G725', 'G727', 'G729', 'G763', 'G764', 'G766', 'G767', 'G768', 'G769', 'G770', 'G771', 'G772', 'G773', 'G774', 'G775', 'G776', 'G777', 'G780', 'G781', 'G782', 'G783', 'G784', 'G785', 'G786', 'G787', 'G788', 'G8002', 'G8004', 'G8006', 'G8007', 'G8008', 'G8011', 'G8013', 'G8016', 'G8017', 'G8019', 'G8024', 'G8032', 'G8033', 'G8035', 'G8037', 'G8038', 'G8039', 'G8040', 'G8102', 'G8103', 'G8106', 'G8107', 'G8126', 'G8127', 'G8128', 'G8130', 'G923', 'G924', 'G926', 'G929', 'G930', 'G931', 'G934', 'G936', 'G937', 'G940', 'G953', 'G955', 'G956']",145
531,四平站,"124.3802615904496,43.17356579317791","['2051', '2052', '2061', '2062', '2623', '2624', '4355', '4356', '4357', '4358', 'K1009', 'K1010', 'K1021', 'K1023', 'K1024', 'K1053', 'K1054', 'K1055', 'K1056', 'K1061', 'K1062', 'K1063', 'K1064', 'K1227', 'K1228', 'K1229', 'K1230', 'K1241', 'K1242', 'K1243', 'K1244', 'K125', 'K126', 'K127', 'K128', 'K1301', 'K1302', 'K1303', 'K1304', 'K1381', 'K1382', 'K1383', 'K1384', 'K1391', 'K1392', 'K1393', 'K1394', 'K1525', 'K1526', 'K1527', 'K1528', 'K1571', 'K1572', 'K1573', 'K1574', 'K1983', 'K1986', 'K2083', 'K2084', 'K2285', 'K2286', 'K2287', 'K2288', 'K2385', 'K2386', 'K2387', 'K2388', 'K293', 'K294', 'K295', 'K296', 'K340', 'K349', 'K350', 'K4491', 'K4494', 'K4575', 'K4576', 'K4577', 'K4578', 'K489', 'K515', 'K516', 'K517', 'K518', 'K545', 'K546', 'K547', 'K548', 'K549', 'K550', 'K551', 'K554', 'K701', 'K702', 'K703', 'K704', 'K726', 'K727', 'K7305', 'K7306', 'K7391', 'K7392', 'K7393', 'K7394', 'K7459', 'K7460', 'K7521', 'K7522', 'K7565', 'K7566', 'K889', 'K890', 'K925', 'K928', 'K937', 'K938', 'K939', 'K940', 'K973', 'K976', 'K977', 'K978', 'K979', 'K980', 'T121', 'T122', 'T123', 'T124', 'T181', 'T184', 'T241', 'T242', 'T243', 'T244', 'T261', 'T297', 'T329', 'T330', 'T331', 'T332', 'Z101', 'Z102', 'Z103', 'Z104', 'Z111', 'Z114', 'Z171', 'Z174', 'Z175', 'Z178', 'Z211', 'Z212', 'Z365', 'Z366', 'Z367', 'Z368', 'Z383', 'Z384', 'Z385', 'Z386']",161
532,双阳站,"125.64787100575398,43.523357093369036","['K7571', 'K7572']",2
533,松原站,"124.82302477846918,45.11525437453922","['C502', 'C503', 'C504', 'C505', 'C506', 'C507', 'C508', 'C509', 'C510', 'C511', 'C512', 'C517', 'C518', 'C519', 'C521', 'C522', 'C527', 'C528', 'C529', 'C530', 'C531', 'C532', 'C533', 'C534', 'C535', 'C536', 'C545', 'C546', 'K1023', 'K1024', 'K1230', 'K7305', 'K7306']",33
534,通化站,"125.9861396235078,41.75975581162183","['4245', '4246', '4317', '4318', '4319', '4320', '4347', '4348', '4349', '4350', 'K429', 'K430', 'K7385', 'K7386', 'K7391', 'K7392', 'K7393', 'K7394', 'K7521', 'K7522', 'K969', 'K970', 'K971', 'K972']",24
535,陶家屯站,"124.99595928868298,43.65146034664213","['6335', '6336']",2
536,陶赖昭站,"125.94549165850351,44.83225855669157","['K1242', 'K1243', 'K1381', 'K1384', 'K1526', 'K1527', 'K4491', 'K4494', 'K925', 'K928', 'K978', 'K979', 'T182', 'T183']",14
537,图们北站,"129.8065094404364,43.00276068237554","['4343', '4344', 'C1003', 'C1008', 'C1009', 'C1012', 'C1015', 'C1020', 'C1023', 'C1026', 'C1037', 'C1040', 'C1042', 'C1043', 'G3649', 'G3650', 'G8125', 'G8126', 'G8127', 'G8128']",20
538,铁厂站,"126.21026397366967,41.72321088413701","['4347', '4348']",2
539,通榆站,"123.0828053457624,44.81054687138528","['1817', '1818', '1819', '1820', 'K1189', 'K1190', 'K1259', 'K2084', 'K4690', 'K550', 'K955', 'K956', 'K957', 'K958']",14
540,天岗站,"126.96161936832291,43.91084161145394","['4343', '4344']",2
541,通化县站,"125.82839699629457,41.6848808772371","['4317', '4318', '4319', '4320']",4
542,洮南站,"122.81563041295917,45.346055013063605","['1817', '1820', 'K1189', 'K1190', 'K1259', 'K1301', 'K2083', 'K2084', 'K550', 'K7565', 'K955', 'K956', 'K957', 'K958', 'K995', 'K996', 'K997', 'K998']",18
543,太平川站,"123.19090177150842,44.40537944536067","['1817', '1820', 'K1189', 'K1190', 'K1259', 'K2083', 'K2084', 'K4690', 'K47', 'K48', 'K49', 'K50', 'K550', 'K955', 'K956', 'K957', 'K958', 'K995', 'K996', 'K997', 'K998']",21
544,五棵树站,"126.16711440748118,44.807146908010544","['T5301', 'T5302', 'T5303', 'T5304', 'T5305', 'T5306']",6
545,永庆站,"128.24843751983877,42.71337257503151","['C1301', 'C1302', 'C1303', 'C1304', 'C1305', 'C1306', 'C1307', 'C1308', 'C1309', 'C1310', 'C1311', 'C1312', 'C1325', 'C1326', 'D151', 'D154', 'D8081', 'D8082', 'D8083']",19
546,伊通站,"125.29435499942653,43.37709506636227","['K7571', 'K7572']",2
547,延吉站,"129.50356156652106,42.89276579330207","['4343', '4344']",2
548,延吉西站,"129.42138098524623,42.91018695471899","['C1001', 'C1002', 'C1003', 'C1004', 'C1005', 'C1006', 'C1007', 'C1008', 'C1009', 'C1010', 'C1011', 'C1012', 'C1015', 'C1016', 'C1017', 'C1018', 'C1019', 'C1020', 'C1021', 'C1023', 'C1024', 'C1025', 'C1026', 'C1027', 'C1028', 'C1037', 'C1040', 'C1041', 'C1042', 'C1043', 'C1045', 'C1046', 'C1047', 'C1048', 'C1049', 'C1050', 'C1052', 'D111', 'D112', 'D113', 'D114', 'D115', 'D116', 'D117', 'D118', 'D8089', 'D8090', 'D8091', 'D8092', 'G1265', 'G1266', 'G1267', 'G1268', 'G3649', 'G3650', 'G8035', 'G8125', 'G8126', 'G8127', 'G8128', 'G8130']",61
549,榆树站,"126.5411735828552,44.822538307014185","['T5301', 'T5302', 'T5303', 'T5304', 'T5305', 'T5306']",6
550,烟筒山站,"126.03505226869555,43.29100641576295","['K7333', 'K7334', 'K7425', 'K7426']",4
